draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2020,1,1,Cincinnati Bengals,Joe Burrow,QB,14777,"Burrow, Joe"
2020,1,5,Miami Dolphins,Tua Tagovailoa,QB,14778,"Tagovailoa, Tua"
2020,1,6,Los Angeles Chargers,Justin Herbert,QB,14779,"Herbert, Justin"
2020,1,12,Las Vegas Raiders,Henry Ruggs,WR,14834,"Ruggs, Henry"
2020,1,15,Denver Broncos,Jerry Jeudy,WR,14833,"Jeudy, Jerry"
2020,1,17,Dallas Cowboys,CeeDee Lamb,WR,14832,"Lamb, CeeDee"
2020,1,21,Philadelphia Eagles,Jalen Reagor,WR,14839,"Reagor, Jalen"
2020,1,22,Minnesota Vikings,Justin Jefferson,WR,14836,"Jefferson, Justin"
2020,1,25,San Francisco 49ers,Brandon Aiyuk,WR,14840,"Aiyuk, Brandon"
2020,1,26,Green Bay Packers,Jordan Love,QB,14782,"Love, Jordan"
2020,1,32,Kansas City Chiefs,Clyde Edwards-Helaire,RB,14803,"Edwards-Helaire, Clyde"
2020,2,33,Cincinnati Bengals,Tee Higgins,WR,14835,"Higgins, Tee"
2020,2,34,Indianapolis Colts,Michael Pittman Jr.,WR,14842,"Pittman, Michael"
2020,2,35,Detroit Lions,D'Andre Swift,RB,14797,"Swift, D'Andre"
2020,2,41,Indianapolis Colts,Jonathan Taylor,RB,14802,"Taylor, Jonathan"
2020,2,42,Jacksonville Jaguars,Laviska Shenault,WR,14838,"Shenault, Laviska"
2020,2,43,Chicago Bears,Cole Kmet,TE,14867,"Kmet, Cole"
2020,2,49,Pittsburgh Steelers,Chase Claypool,WR,14841,"Claypool, Chase"
2020,2,52,Los Angeles Rams,Cam Akers,RB,14799,"Akers, Cam"
2020,2,53,Philadelphia Eagles,Jalen Hurts,QB,14783,"Hurts, Jalen"
2020,2,55,Baltimore Ravens,J. K. Dobbins,RB,14800,"Dobbins, J.K."
2020,2,57,Los Angeles Rams,Van Jefferson,WR,14858,"Jefferson, Van"
2020,2,59,New York Jets,Denzel Mims,WR,14846,"Mims, Denzel"
2020,2,62,Green Bay Packers,A. J. Dillon,RB,14805,"Dillon, AJ"
2020,3,66,Washington Redskins,Antonio Gibson,RB,14852,"Gibson, Antonio"
2020,3,76,Tampa Bay Buccaneers,Ke'Shawn Vaughn,RB,14810,"Vaughn, Ke'Shawn"
2020,3,86,Buffalo Bills,Zack Moss,RB,14798,"Moss, Zack"
2020,3,92,Baltimore Ravens,Devin Duvernay,WR,14847,"Duvernay, Devin"
2020,3,93,Tennessee Titans,Darrynton Evans,RB,14808,"Evans, Darrynton"
2020,3,94,Green Bay Packers,Josiah Deguara,TE,14876,"Deguara, Josiah"
2020,3,101,New England Patriots,Dalton Keene,TE,14939,"Keene, Dalton"
2020,3,105,New Orleans Saints,Adam Trautman,TE,14870,"Trautman, Adam"
2020,4,112,Los Angeles Chargers,Joshua Kelley,RB,14807,"Kelley, Joshua"
2020,4,115,Cleveland Browns,Harrison Bryant,TE,14875,"Bryant, Harrison"
2020,4,118,Denver Broncos,Albert Okwuegbunam,TE,14873,"Okwuegbunam, Albert"
2020,4,120,New York Jets,La'Mical Perine,RB,14806,"Perine, Lamical"
2020,4,128,Buffalo Bills,Gabe Davis,WR,14845,"Davis, Gabriel"
2020,4,133,Seattle Seahawks,Colby Parkinson,TE,14871,"Parkinson, Colby"
2020,4,144,Seattle Seahawks,DeeJay Dallas,RB,14815,"Dallas, DeeJay"
2020,5,161,Tampa Bay Buccaneers,Tyler Johnson,WR,14864,"Johnson, Tyler"
2020,5,165,Jacksonville Jaguars,Collin Johnson,WR,14853,"Johnson, Collin"
2020,5,166,Detroit Lions,Quintez Cephus,WR,14850,"Cephus, Quintez"
2020,5,167,Buffalo Bills,Jake Fromm,QB,14781,"Fromm, Jake"
2020,5,173,Chicago Bears,Darnell Mooney,WR,14974,"Mooney, Darnell"
2020,5,176,Minnesota Vikings,K. J. Osborn,WR,14977,"Osborn, K.J."
2020,6,187,Cleveland Browns,Donovan Peoples-Jones,WR,14857,"Peoples-Jones, Donovan"
2020,6,190,San Francisco 49ers,Charlie Woerner,TE,14984,"Woerner, Charlie"
2020,6,200,Philadelphia Eagles,Quez Watkins,WR,14992,"Watkins, Quez"
2020,6,201,Baltimore Ravens,James Proche,WR,14848,"Proche, James"
2020,6,206,Jacksonville Jaguars,Tyler Davis,TE,14996,"Davis, Tyler"
2020,6,207,Buffalo Bills,Isaiah Hodgins,WR,14849,"Hodgins, Isaiah"
2020,7,217,San Francisco 49ers,Jauan Jennings,WR,14860,"Jennings, Jauan"
2020,7,251,Seattle Seahawks,Stephen Sullivan,TE,15026,"Sullivan, Stephen"
