draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2026,1,1,Las Vegas Raiders,Fernando Mendoza,QB,17462,"Mendoza, Fernando"
2026,1,3,Arizona Cardinals,Jeremiyah Love,RB,17472,"Love, Jeremiyah"
2026,1,4,Tennessee Titans,Carnell Tate,WR,17497,"Tate, Carnell"
2026,1,8,New Orleans Saints,Jordyn Tyson,WR,17498,"Tyson, Jordyn"
2026,1,13,Los Angeles Rams,Ty Simpson,QB,17463,"Simpson, Ty"
2026,1,16,New York Jets,Kenyon Sadiq,TE,17543,"Sadiq, Kenyon"
2026,1,20,Philadelphia Eagles,Makai Lemon,WR,17499,"Lemon, Makai"
2026,1,24,Cleveland Browns,KC Concepcion,WR,17501,"Concepcion, KC"
2026,1,30,New York Jets,Omar Cooper Jr.,WR,17502,"Cooper Jr., Omar"
2026,1,32,Seattle Seahawks,Jadarian Price,RB,17473,"Price, Jadarian"
2026,2,33,San Francisco 49ers,De'Zhaun Stribling,WR,17514,"Stribling, De'Zhaun"
2026,2,39,Cleveland Browns,Denzel Boston,WR,17500,"Boston, Denzel"
2026,2,47,Pittsburgh Steelers,Germie Bernard,WR,17503,"Bernard, Germie"
2026,2,54,Philadelphia Eagles,Eli Stowers,TE,17544,"Stowers, Eli"
2026,2,56,Jacksonville Jaguars,Nate Boerkircher,TE,17591,"Boerkircher, Nate"
2026,2,59,Houston Texans,Marlin Klein,TE,17593,"Klein, Marlin"
2026,2,61,Los Angeles Rams,Max Klare,TE,17547,"Klare, Max"
2026,3,65,Arizona Cardinals,Carson Beck,QB,17466,"Beck, Carson"
2026,3,69,Chicago Bears,Sam Roush,TE,17549,"Roush, Sam"
2026,3,71,Washington Commanders,Antonio Williams,WR,17512,"Williams, Antonio"
2026,3,73,New Orleans Saints,Oscar Delp,TE,17567,"Delp, Oscar"
2026,3,74,New York Giants,Malachi Fields,WR,17511,"Fields, Malachi"
2026,3,75,Miami Dolphins,Caleb Douglas,WR,17599,"Douglas, Caleb"
2026,3,76,Pittsburgh Steelers,Drew Allar,QB,17468,"Allar, Drew"
2026,3,79,Atlanta Falcons,Zachariah Branch,WR,17507,"Branch, Zachariah"
2026,3,80,Baltimore Ravens,Ja'Kobi Lane,WR,17517,"Lane, Ja'Kobi"
2026,3,83,Carolina Panthers,Chris Brazzell II,WR,17509,"Brazzell II, Chris"
2026,3,84,Tampa Bay Buccaneers,Ted Hurst,WR,17520,"Hurst, Ted"
2026,3,87,Miami Dolphins,Will Kacmarek,TE,17605,"Kacmarek, Will"
2026,3,89,Chicago Bears,Zavion Thomas,WR,17521,"Thomas, Zavion"
2026,3,90,San Francisco 49ers,Kaelon Black,RB,17485,"Black, Kaelon"
2026,3,94,Miami Dolphins,Chris Bell,WR,17506,"Bell, Chris"
2026,3,95,New England Patriots,Eli Raridon,TE,17607,"Raridon, Eli"
2026,4,105,Los Angeles Chargers,Brenen Thompson,WR,17529,"Thompson, Brenen"
2026,4,108,Denver Broncos,Jonah Coleman,RB,17477,"Coleman, Jonah"
2026,4,110,New York Jets,Cade Klubnik,QB,17467,"Klubnik, Cade"
2026,4,115,Baltimore Ravens,Elijah Sarratt,WR,17505,"Sarratt, Elijah"
2026,4,121,Pittsburgh Steelers,Kaden Wetjen,WR,17620,"Wetjen, Kaden"
2026,4,122,Las Vegas Raiders,Mike Washington Jr.,RB,17482,"Washington Jr., Mike"
2026,4,125,Buffalo Bills,Skyler Bell,WR,17508,"Bell, Skyler"
2026,4,133,Baltimore Ravens,Matthew Hibner,TE,17627,"Hibner, Matthew"
2026,4,136,New Orleans Saints,Bryce Lance,WR,17519,"Lance, Bryce"
2026,4,140,Cincinnati Bengals,Colbie Young,WR,17542,"Young, Colbie"
2026,5,143,Arizona Cardinals,Reggie Virgil,WR,17526,"Virgil, Reggie"
2026,5,152,Denver Broncos,Justin Joly,TE,17548,"Joly, Justin"
2026,5,161,Kansas City Chiefs,Emmett Johnson,RB,17474,"Johnson, Emmett"
2026,5,164,Jacksonville Jaguars,Tanner Koziol,TE,17644,"Koziol, Tanner"
2026,5,165,Tennessee Titans,Nicholas Singleton,RB,17476,"Singleton, Nicholas"
2026,5,168,Detroit Lions,Kendrick Law,WR,17647,"Law, Kendrick"
2026,5,169,Pittsburgh Steelers,Riley Nowakowski,TE,17648,"Nowakowski, Riley"
2026,5,170,Cleveland Browns,Joe Royer,TE,17566,"Royer, Joe"
2026,5,173,Baltimore Ravens,Josh Cuevas,TE,17651,"Cuevas, Josh"
2026,5,174,Baltimore Ravens,Adam Randall,RB,17652,"Randall, Adam"
2026,5,176,Kansas City Chiefs,Cyrus Allen,WR,17518,"Allen, Cyrus"
2026,5,177,Miami Dolphins,Kevin Coleman Jr.,WR,17528,"Coleman, Kevin"
2026,5,178,Philadelphia Eagles,Cole Payton,QB,17654,"Payton, Cole"
2026,5,180,Miami Dolphins,Seydou Traore,TE,17655,"Traore, Seydou"
2026,6,182,Cleveland Browns,Taylen Green,QB,17657,"Green, Taylen"
2026,6,185,Tampa Bay Buccaneers,Bauer Sharp,TE,17660,"Sharp, Bauer"
2026,6,187,Washington Commanders,Kaytron Allen,RB,17478,"Allen, Kaytron"
2026,6,190,New Orleans Saints,Barion Brown,WR,17541,"Brown, Barion"
2026,6,191,Jacksonville Jaguars,Josh Cameron,WR,17527,"Cameron, Josh"
2026,6,195,Las Vegas Raiders,Malik Benson,WR,17706,"Benson, Malik"
2026,6,197,Los Angeles Rams,CJ Daniels,WR,17504,"Daniels, CJ"
2026,6,198,Minnesota Vikings,Demond Claiborne,RB,17481,"Claiborne, Demond"
2026,6,199,Seattle Seahawks,Emmanuel Henderson,WR,17669,"Henderson, Emmanuel"
2026,6,203,Jacksonville Jaguars,CJ Williams,WR,17671,"Williams, C.J."
2026,6,204,Houston Texans,Lewis Bond,WR,17530,"Bond, Lewis"
2026,7,218,Dallas Cowboys,Anthony Smith,WR,17675,"Smith, Anthony"
2026,7,221,Cincinnati Bengals,Jack Endries,TE,17545,"Endries, Jack"
2026,7,223,Washington Commanders,Athan Kaliakmanis,QB,17679,"Kaliakmanis, Athan"
2026,7,225,Tennessee Titans,Jaren Kanak,TE,17681,"Kanak, Jaren"
2026,7,230,Pittsburgh Steelers,Eli Heidenreich,RB,17685,"Heidenreich, Eli"
2026,7,234,New England Patriots,Behren Morton,QB,17702,"Morton, Behren"
2026,7,237,Indianapolis Colts,Seth McGowan,RB,17475,"McGowan, Seth"
2026,7,245,New England Patriots,Jam Miller,RB,17486,"Miller, Jam"
2026,7,248,Cleveland Browns,Carsen Ryan,TE,17696,"Ryan, Carsen"
2026,7,249,Kansas City Chiefs,Garrett Nussmeier,QB,17465,"Nussmeier, Garrett"
2026,7,254,Indianapolis Colts,Deion Burks,WR,17510,"Burks, Deion"
2026,7,256,Denver Broncos,Dallen Bentley,TE,17699,"Bentley, Dallen"
