draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2017,1,2,Chicago Bears,Mitchell Trubisky,QB,13115,"Trubisky, Mitchell"
2017,1,4,Jacksonville Jaguars,Leonard Fournette,RB,13129,"Fournette, Leonard"
2017,1,7,Los Angeles Chargers,Mike Williams,WR,13154,"Williams, Mike"
2017,1,8,Carolina Panthers,Christian McCaffrey,RB,13130,"McCaffrey, Christian"
2017,1,9,Cincinnati Bengals,John Ross,WR,13155,"Ross, John"
2017,1,10,Kansas City Chiefs,Patrick Mahomes,QB,13116,"Mahomes, Patrick"
2017,1,12,Houston Texans,Deshaun Watson,QB,13113,"Watson, Deshaun"
2017,1,23,New York Giants,Evan Engram,TE,13189,"Engram, Evan"
2017,1,29,Cleveland Browns,David Njoku,TE,13192,"Njoku, David"
2017,2,37,Buffalo Bills,Zay Jones,WR,13176,"Jones, Zay"
2017,2,40,Carolina Panthers,Curtis Samuel,WR,13157,"Samuel, Curtis"
2017,2,41,Minnesota Vikings,Dalvin Cook,RB,13128,"Cook, Dalvin"
2017,2,44,Los Angeles Rams,Gerald Everett,TE,13236,"Everett, Gerald"
2017,2,48,Cincinnati Bengals,Joe Mixon,RB,13131,"Mixon, Joe"
2017,2,62,Pittsburgh Steelers,JuJu Smith-Schuster,WR,13156,"Smith-Schuster, JuJu"
2017,3,67,New Orleans Saints,Alvin Kamara,RB,13132,"Kamara, Alvin"
2017,3,69,Los Angeles Rams,Cooper Kupp,WR,13164,"Kupp, Cooper"
2017,3,84,Tampa Bay Buccaneers,Chris Godwin,WR,13163,"Godwin, Chris"
2017,3,86,Kansas City Chiefs,Kareem Hunt,RB,13138,"Hunt, Kareem"
2017,3,89,Houston Texans,D'Onta Foreman,RB,13134,"Foreman, D'Onta"
2017,3,100,Tennessee Titans,Jonnu Smith,TE,13193,"Smith, Jonnu"
2017,3,104,San Francisco 49ers,C. J. Beathard,QB,13125,"Beathard, C.J."
2017,3,105,Pittsburgh Steelers,James Conner,RB,13146,"Conner, James"
2017,4,114,Washington Redskins,Samaje Perine,RB,13133,"Perine, Samaje"
2017,4,117,Los Angeles Rams,Josh Reynolds,WR,13168,"Reynolds, Josh"
2017,4,118,Philadelphia Eagles,Mack Hollins,WR,13289,"Hollins, Mack"
2017,4,134,Green Bay Packers,Jamaal Williams,RB,13139,"Williams, Jamaal"
2017,4,135,Pittsburgh Steelers,Joshua Dobbs,QB,13119,"Dobbs, Joshua"
2017,4,143,Indianapolis Colts,Marlon Mack,RB,13234,"Mack, Marlon"
2017,5,146,San Francisco 49ers,George Kittle,TE,13299,"Kittle, George"
2017,5,162,Tampa Bay Buccaneers,Jeremy McNichols,RB,13143,"McNichols, Jeremy"
2017,5,172,Denver Broncos,Isaiah McKenzie,WR,13313,"McKenzie, Isaiah"
2017,5,174,Atlanta Falcons,Eric Saubert,TE,13315,"Saubert, Eric"
2017,5,177,San Francisco 49ers,Trent Taylor,WR,13316,"Taylor, Trent"
2017,5,182,Green Bay Packers,Aaron Jones,RB,13319,"Jones, Aaron"
2017,7,226,Seattle Seahawks,David Moore,WR,13348,"Moore, David"
2017,7,239,Dallas Cowboys,Noah Brown,WR,13172,"Brown, Noah"
