draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2022,1,8,Atlanta Falcons,Drake London,WR,15751,"London, Drake"
2022,1,10,New York Jets,Garrett Wilson,WR,15753,"Wilson, Garrett"
2022,1,11,New Orleans Saints,Chris Olave,WR,15754,"Olave, Chris"
2022,1,12,Detroit Lions,Jameson Williams,WR,15756,"Williams, Jameson"
2022,1,16,Washington Commanders,Jahan Dotson,WR,15755,"Dotson, Jahan"
2022,1,18,Tennessee Titans,Treylon Burks,WR,15752,"Burks, Treylon"
2022,1,20,Pittsburgh Steelers,Kenny Pickett,QB,15692,"Pickett, Kenny"
2022,2,34,Green Bay Packers,Christian Watson,WR,15789,"Watson, Christian"
2022,2,36,New York Jets,Breece Hall,RB,15708,"Hall, Breece"
2022,2,41,Seattle Seahawks,Kenneth Walker III,RB,15711,"Walker III, Kenneth"
2022,2,43,New York Giants,Wan'Dale Robinson,WR,15757,"Robinson, Wan'Dale"
2022,2,44,Houston Texans,John Metchie III,WR,15759,"Metchie, John"
2022,2,50,New England Patriots,Tyquan Thornton,WR,15787,"Thornton, Tyquan"
2022,2,52,Pittsburgh Steelers,George Pickens,WR,15762,"Pickens, George"
2022,2,53,Indianapolis Colts,Alec Pierce,WR,15768,"Pierce, Alec"
2022,2,54,Kansas City Chiefs,Skyy Moore,WR,15766,"Moore, Skyy"
2022,2,55,Arizona Cardinals,Trey McBride,TE,15794,"McBride, Trey"
2022,2,63,Buffalo Bills,James Cook,RB,15715,"Cook, James"
2022,3,71,Chicago Bears,Velus Jones Jr.,WR,15767,"Jones, Velus"
2022,3,73,Indianapolis Colts,Jelani Woods,TE,15840,"Woods, Jelani"
2022,3,74,Atlanta Falcons,Desmond Ridder,QB,15697,"Ridder, Desmond"
2022,3,80,Denver Broncos,Greg Dulcich,TE,15797,"Dulcich, Greg"
2022,3,86,Tennessee Titans,Malik Willis,QB,15694,"Willis, Malik"
2022,3,88,Dallas Cowboys,Jalen Tolbert,WR,15788,"Tolbert, Jalen"
2022,3,91,Tampa Bay Buccaneers,Rachaad White,RB,15721,"White, Rachaad"
2022,3,93,San Francisco 49ers,Tyrion Davis-Price,RB,15746,"Davis-Price, Tyrion"
2022,3,98,Washington Commanders,Brian Robinson Jr.,RB,15716,"Robinson, Brian"
2022,3,99,Cleveland Browns,David Bell,WR,15758,"Bell, David"
2022,3,101,New York Jets,Jeremy Ruckert,TE,15796,"Ruckert, Jeremy"
2022,3,105,San Francisco 49ers,Danny Gray,WR,15782,"Gray, Danny"
2022,4,106,Tampa Bay Buccaneers,Cade Otton,TE,15802,"Otton, Cade"
2022,4,107,Houston Texans,Dameon Pierce,RB,15717,"Pierce, Dameon"
2022,4,112,New York Giants,Daniel Bellinger,TE,15873,"Bellinger, Daniel"
2022,4,122,Las Vegas Raiders,Zamir White,RB,15714,"White, Zamir"
2022,4,123,Los Angeles Chargers,Isaiah Spiller,RB,15709,"Spiller, Isaiah"
2022,4,125,Miami Dolphins,Erik Ezukanma,WR,15780,"Ezukanma, Erik"
