draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2018,1,1,Cleveland Browns,Baker Mayfield,QB,13590,"Mayfield, Baker"
2018,1,2,New York Giants,Saquon Barkley,RB,13604,"Barkley, Saquon"
2018,1,3,New York Jets,Sam Darnold,QB,13592,"Darnold, Sam"
2018,1,7,Buffalo Bills,Josh Allen,QB,13589,"Allen, Josh"
2018,1,24,Carolina Panthers,D. J. Moore,WR,13635,"Moore, D.J."
2018,1,25,Baltimore Ravens,Hayden Hurst,TE,13680,"Hurst, Hayden"
2018,1,26,Atlanta Falcons,Calvin Ridley,WR,13629,"Ridley, Calvin"
2018,1,27,Seattle Seahawks,Rashaad Penny,RB,13608,"Penny, Rashaad"
2018,1,32,Baltimore Ravens,Lamar Jackson,QB,13593,"Jackson, Lamar"
2018,2,35,Cleveland Browns,Nick Chubb,RB,13610,"Chubb, Nick"
2018,2,40,Denver Broncos,Courtland Sutton,WR,13630,"Sutton, Courtland"
2018,2,42,Miami Dolphins,Mike Gesicki,TE,13672,"Gesicki, Mike"
2018,2,44,San Francisco 49ers,Dante Pettis,WR,13634,"Pettis, Dante"
2018,2,47,Arizona Cardinals,Christian Kirk,WR,13633,"Kirk, Christian"
2018,2,49,Philadelphia Eagles,Dallas Goedert,TE,13674,"Goedert, Dallas"
2018,2,51,Chicago Bears,Anthony Miller,WR,13639,"Miller, Anthony"
2018,2,61,Jacksonville Jaguars,D. J. Chark,WR,13668,"Chark, D.J."
2018,3,71,Denver Broncos,Royce Freeman,RB,13617,"Freeman, Royce"
2018,3,76,Pittsburgh Steelers,Mason Rudolph,QB,13595,"Rudolph, Mason"
2018,3,81,Dallas Cowboys,Michael Gallup,WR,13646,"Gallup, Michael"
2018,3,86,Baltimore Ravens,Mark Andrews,TE,13671,"Andrews, Mark"
2018,3,91,New Orleans Saints,Tre'Quan Smith,WR,13645,"Smith, Tre'Quan"
2018,3,98,Houston Texans,Jordan Akins,TE,13753,"Akins, Jordan"
2018,4,101,Carolina Panthers,Ian Thomas,TE,13678,"Thomas, Ian"
2018,4,104,Indianapolis Colts,Nyheim Hines,RB,13622,"Hines, Nyheim"
2018,4,120,Seattle Seahawks,Will Dissly,TE,13763,"Dissly, Will"
2018,4,123,Miami Dolphins,Durham Smythe,TE,13676,"Smythe, Durham"
2018,4,134,Arizona Cardinals,Chase Edmonds,RB,13726,"Edmonds, Chase"
2018,4,137,Dallas Cowboys,Dalton Schultz,TE,13772,"Schultz, Dalton"
2018,5,144,Tampa Bay Buccaneers,Justin Watson,WR,13776,"Watson, Justin"
2018,5,157,Minnesota Vikings,Tyler Conklin,TE,13675,"Conklin, Tyler"
2018,5,171,Dallas Cowboys,Mike White,QB,13598,"White, Mike"
2018,5,174,Green Bay Packers,Marquez Valdes-Scantling,WR,13793,"Valdes-Scantling, Marquez"
2018,6,176,Los Angeles Rams,John Kelly,RB,13619,"Kelly, John"
2018,6,187,Buffalo Bills,Ray-Ray McCloud,WR,13641,"McCloud, Ray-Ray"
2018,6,194,Atlanta Falcons,Russell Gage,WR,13809,"Gage, Russell"
2018,6,201,New Orleans Saints,Boston Scott,RB,13814,"Scott, Boston"
2018,6,207,Green Bay Packers,Equanimeous St. Brown,WR,13637,"St. Brown, Equanimeous"
2018,6,208,Dallas Cowboys,Cedrick Wilson Jr.,WR,13652,"Wilson, Cedrick"
2018,6,210,New England Patriots,Braxton Berrios,WR,13638,"Berrios, Braxton"
2018,7,249,Cincinnati Bengals,Logan Woodside,QB,13846,"Woodside, Logan"
