draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2019,1,1,Arizona Cardinals,Kyler Murray,QB,14056,"Murray, Kyler"
2019,1,6,New York Giants,Daniel Jones,QB,14059,"Jones, Daniel"
2019,1,8,Detroit Lions,T. J. Hockenson,TE,14138,"Hockenson, T.J."
2019,1,20,Denver Broncos,Noah Fant,TE,14137,"Fant, Noah"
2019,1,24,Oakland Raiders,Josh Jacobs,RB,14073,"Jacobs, Josh"
2019,1,25,Baltimore Ravens,Marquise Brown,WR,14105,"Brown, Marquise"
2019,2,36,San Francisco 49ers,Deebo Samuel,WR,14136,"Samuel, Deebo"
2019,2,42,Denver Broncos,Drew Lock,QB,14057,"Lock, Drew"
2019,2,50,Minnesota Vikings,Irv Smith Jr.,TE,14141,"Smith, Irv"
2019,2,51,Tennessee Titans,A. J. Brown,WR,14104,"Brown, A.J."
2019,2,52,Cincinnati Bengals,Drew Sample,TE,14146,"Sample, Drew"
2019,2,53,Philadelphia Eagles,Miles Sanders,RB,14079,"Sanders, Miles"
2019,2,56,Kansas City Chiefs,Mecole Hardman,WR,14113,"Hardman, Mecole"
2019,2,59,Indianapolis Colts,Parris Campbell,WR,14112,"Campbell, Parris"
2019,2,62,Arizona Cardinals,Andy Isabella,WR,14121,"Isabella, Andy"
2019,2,64,Seattle Seahawks,DK Metcalf,WR,14102,"Metcalf, DK"
2019,3,66,Pittsburgh Steelers,Diontae Johnson,WR,14208,"Johnson, Diontae"
2019,3,69,Jacksonville Jaguars,Josh Oliver,TE,14209,"Oliver, Josh"
2019,3,70,Los Angeles Rams,Darrell Henderson,RB,14087,"Henderson, Darrell"
2019,3,73,Chicago Bears,David Montgomery,RB,14071,"Montgomery, David"
2019,3,74,Buffalo Bills,Devin Singletary,RB,14080,"Singletary, Devin"
2019,3,76,Washington Redskins,Terry McLaurin,WR,14109,"McLaurin, Terry"
2019,3,96,Buffalo Bills,Dawson Knox,TE,14143,"Knox, Dawson"
2019,3,100,Carolina Panthers,Will Grier,QB,14062,"Grier, Will"
2019,3,102,Minnesota Vikings,Alexander Mattison,RB,14223,"Mattison, Alexander"
2019,4,113,Baltimore Ravens,Justice Hill,RB,14086,"Hill, Justice"
2019,4,128,Dallas Cowboys,Tony Pollard,RB,14085,"Pollard, Tony"
2019,4,133,New England Patriots,Jarrett Stidham,QB,14063,"Stidham, Jarrett"
2019,4,137,Oakland Raiders,Foster Moreau,TE,14239,"Moreau, Foster"
2019,5,149,Oakland Raiders,Hunter Renfrow,WR,14123,"Renfrow, Hunter"
2019,5,166,Los Angeles Chargers,Easton Stick,QB,14069,"Stick, Easton"
2019,5,171,New York Giants,Darius Slayton,WR,14122,"Slayton, Darius"
2019,6,178,Jacksonville Jaguars,Gardner Minshew,QB,14067,"Minshew, Gardner"
2019,6,182,Cincinnati Bengals,Trayveon Williams,RB,14076,"Williams, Trayveon"
2019,6,186,Detroit Lions,Ty Johnson,RB,14095,"Johnson, Ty"
2019,6,187,Denver Broncos,Juwann Winfree,WR,14267,"Winfree, Juwann"
2019,6,204,Seattle Seahawks,Travis Homer,RB,14083,"Homer, Travis"
2019,6,208,Tampa Bay Buccaneers,Scotty Miller,WR,14280,"Miller, Scotty"
2019,7,234,Miami Dolphins,Myles Gaskin,RB,14081,"Gaskin, Myles"
