draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2014,1,7,Tampa Bay Buccaneers,Mike Evans,WR,11671,"Evans, Mike"
2014,1,12,New York Giants,Odell Beckham Jr.,WR,11679,"Beckham, Odell"
2014,1,20,New Orleans Saints,Brandin Cooks,WR,11674,"Cooks, Brandin"
2014,1,32,Minnesota Vikings,Teddy Bridgewater,QB,11640,"Bridgewater, Teddy"
2014,2,36,Oakland Raiders,Derek Carr,QB,11644,"Carr, Derek"
2014,2,53,Green Bay Packers,Davante Adams,WR,11675,"Adams, Davante"
2014,2,61,Jacksonville Jaguars,Allen Robinson,WR,11678,"Robinson, Allen"
2014,2,62,New England Patriots,Jimmy Garoppolo,QB,11760,"Garoppolo, Jimmy"
2014,2,63,Miami Dolphins,Jarvis Landry,WR,11680,"Landry, Jarvis"
2014,3,96,Minnesota Vikings,Jerick McKinnon,RB,11761,"McKinnon, Jerick"
