draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2021,1,1,Jacksonville Jaguars,Trevor Lawrence,QB,15237,"Lawrence, Trevor"
2021,1,2,New York Jets,Zach Wilson,QB,15239,"Wilson, Zach"
2021,1,3,San Francisco 49ers,Trey Lance,QB,15240,"Lance, Trey"
2021,1,4,Atlanta Falcons,Kyle Pitts,TE,15329,"Pitts, Kyle"
2021,1,5,Cincinnati Bengals,Ja'Marr Chase,WR,15281,"Chase, Ja'Marr"
2021,1,6,Miami Dolphins,Jaylen Waddle,WR,15284,"Waddle, Jaylen"
2021,1,10,Philadelphia Eagles,DeVonta Smith,WR,15282,"Smith, DeVonta"
2021,1,11,Chicago Bears,Justin Fields,QB,15238,"Fields, Justin"
2021,1,15,New England Patriots,Mac Jones,QB,15241,"Jones, Mac"
2021,1,20,New York Giants,Kadarius Toney,WR,15289,"Toney, Kadarius"
2021,1,24,Pittsburgh Steelers,Najee Harris,RB,15254,"Harris, Najee"
2021,1,25,Jacksonville Jaguars,Travis Etienne,RB,15253,"Etienne, Travis"
2021,1,27,Baltimore Ravens,Rashod Bateman,WR,15293,"Bateman, Rashod"
2021,2,34,New York Jets,Elijah Moore,WR,15288,"Moore, Elijah"
2021,2,35,Denver Broncos,Javonte Williams,RB,15256,"Williams, Javonte"
2021,2,49,Arizona Cardinals,Rondale Moore,WR,15283,"Moore, Rondale"
2021,2,55,Pittsburgh Steelers,Pat Freiermuth,TE,15331,"Freiermuth, Pat"
2021,2,56,Seattle Seahawks,D'Wayne Eskridge,WR,15302,"Eskridge, Dee"
2021,2,57,Los Angeles Rams,Tutu Atwell,WR,15301,"Atwell, Tutu"
2021,2,59,Carolina Panthers,Terrace Marshall Jr.,WR,15308,"Marshall, Terrace"
2021,2,64,Tampa Bay Buccaneers,Kyle Trask,QB,15242,"Trask, Kyle"
2021,3,66,Minnesota Vikings,Kellen Mond,QB,15243,"Mond, Kellen"
2021,3,67,Houston Texans,Davis Mills,QB,15252,"Mills, Davis"
2021,3,77,Los Angeles Chargers,Josh Palmer,WR,15319,"Palmer, Joshua"
2021,3,81,Miami Dolphins,Hunter Long,TE,15334,"Long, Hunter"
2021,3,82,Washington Football Team,Dyami Brown,WR,15292,"Brown, Dyami"
2021,3,83,Carolina Panthers,Tommy Tremble,TE,15332,"Tremble, Tommy"
2021,3,88,San Francisco 49ers,Trey Sermon,RB,15257,"Sermon, Trey"
2021,3,89,Houston Texans,Nico Collins,WR,15290,"Collins, Nico"
2021,3,91,Cleveland Browns,Anthony Schwartz,WR,15296,"Schwartz, Anthony"
2021,3,97,Los Angeles Chargers,Tre' McKitty,TE,15333,"McKitty, Tre'"
2021,4,107,New York Jets,Michael Carter,RB,15258,"Carter, Michael"
2021,4,109,Tennessee Titans,Dez Fitzpatrick,WR,15407,"Fitzpatrick, Dez"
2021,4,112,Detroit Lions,Amon-Ra St. Brown,WR,15287,"St. Brown, Amon-Ra"
2021,4,119,Minnesota Vikings,Kene Nwangwu,RB,15414,"Nwangwu, Kene"
2021,4,120,New England Patriots,Rhamondre Stevenson,RB,15259,"Stevenson, Rhamondre"
2021,4,124,Washington Football Team,John Bates,TE,15344,"Bates, John"
2021,4,126,Carolina Panthers,Chuba Hubbard,RB,15261,"Hubbard, Chuba"
2021,4,127,Indianapolis Colts,Kylen Granson,TE,15419,"Granson, Kylen"
2021,4,129,Tampa Bay Buccaneers,Jaelon Darden,WR,15321,"Darden, Jaelon"
2021,4,131,Baltimore Ravens,Tylan Wallace,WR,15285,"Wallace, Tylan"
2021,4,133,New Orleans Saints,Ian Book,QB,15246,"Book, Ian"
2021,5,145,Jacksonville Jaguars,Luke Farrell,TE,15335,"Farrell, Luke"
2021,5,147,Houston Texans,Brevin Jordan,TE,15330,"Jordan, Brevin"
2021,5,150,Philadelphia Eagles,Kenneth Gainwell,RB,15255,"Gainwell, Kenneth"
2021,5,157,Minnesota Vikings,Ihmir Smith-Marsette,WR,15434,"Smith-Marsette, Ihmir"
2021,5,162,Kansas City Chiefs,Noah Gray,TE,15337,"Gray, Noah"
2021,5,168,Minnesota Vikings,Zach Davidson,TE,15343,"Davidson, Zach"
2021,5,179,Dallas Cowboys,Simi Fehoko,WR,15303,"Fehoko, Simi"
2021,5,181,Kansas City Chiefs,Cornell Powell,WR,15316,"Powell, Cornell"
2021,6,194,San Francisco 49ers,Elijah Mitchell,RB,15263,"Mitchell, Elijah"
2021,6,196,New York Giants,Gary Brightwell,RB,15462,"Brightwell, Gary"
2021,6,202,Cincinnati Bengals,Chris Evans,RB,15275,"Evans, Chris"
2021,6,211,Cleveland Browns,Demetric Felton,RB,15270,"Felton, Demetric"
2021,6,217,Chicago Bears,Khalil Herbert,RB,15271,"Herbert, Khalil"
2021,6,218,Indianapolis Colts,Sam Ehlinger,QB,15250,"Ehlinger, Sam"
2021,6,219,Denver Broncos,Seth Williams,WR,15286,"Williams, Seth"
2021,7,229,Indianapolis Colts,Mike Strachan,WR,15478,"Strachan, Mike"
2021,7,249,Los Angeles Rams,Ben Skowronek,WR,15491,"Skowronek, Ben"
2021,7,257,Detroit Lions,Jermar Jefferson,RB,15262,"Jefferson, Jermar"
2021,7,258,Washington Football Team,Dax Milne,WR,15326,"Milne, Dax"
