draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2016,1,1,Los Angeles Rams,Jared Goff,QB,12611,"Goff, Jared"
2016,1,2,Philadelphia Eagles,Carson Wentz,QB,12610,"Wentz, Carson"
2016,1,4,Dallas Cowboys,Ezekiel Elliott,RB,12625,"Elliott, Ezekiel"
2016,1,23,Minnesota Vikings,Laquon Treadwell,WR,12645,"Treadwell, Laquon"
2016,2,35,San Diego Chargers,Hunter Henry,TE,12676,"Henry, Hunter"
2016,2,40,New York Giants,Sterling Shepard,WR,12658,"Shepard, Sterling"
2016,2,45,Tennessee Titans,Derrick Henry,RB,12626,"Henry, Derrick"
2016,2,47,New Orleans Saints,Michael Thomas,WR,12652,"Thomas, Michael"
2016,2,55,Cincinnati Bengals,Tyler Boyd,WR,12650,"Boyd, Tyler"
2016,3,81,Atlanta Falcons,Austin Hooper,TE,12677,"Hooper, Austin"
2016,3,91,New England Patriots,Jacoby Brissett,QB,12616,"Brissett, Jacoby"
2016,3,94,Seattle Seahawks,Nick Vannett,TE,12680,"Vannett, Nick"
2016,4,107,Baltimore Ravens,Chris Moore,WR,12773,"Moore, Chris"
2016,4,110,Los Angeles Rams,Tyler Higbee,TE,12678,"Higbee, Tyler"
2016,4,126,Kansas City Chiefs,Demarcus Robinson,WR,12785,"Robinson, Demarcus"
2016,4,135,Dallas Cowboys,Dak Prescott,QB,12620,"Prescott, Dak"
2016,5,165,Kansas City Chiefs,Tyreek Hill,WR,12801,"Hill, Tyreek"
2016,6,201,Jacksonville Jaguars,Brandon Allen,QB,12621,"Allen, Brandon"
2016,6,207,San Francisco 49ers,Jeff Driskel,QB,12623,"Driskel, Jeff"
