draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2025,1,1,Tennessee Titans,Cam Ward,QB,17030,"Ward, Cam"
2025,1,6,Las Vegas Raiders,Ashton Jeanty,RB,17042,"Jeanty, Ashton"
2025,1,8,Carolina Panthers,Tetairoa McMillan,WR,17071,"McMillan, Tetairoa"
2025,1,10,Chicago Bears,Colston Loveland,TE,17104,"Loveland, Colston"
2025,1,14,Indianapolis Colts,Tyler Warren,TE,17102,"Warren, Tyler"
2025,1,19,Tampa Bay Buccaneers,Emeka Egbuka,WR,17081,"Egbuka, Emeka"
2025,1,22,Los Angeles Chargers,Omarion Hampton,RB,17044,"Hampton, Omarion"
2025,1,23,Green Bay Packers,Matthew Golden,WR,17075,"Golden, Matthew"
2025,1,25,New York Giants,Jaxson Dart,QB,17032,"Dart, Jaxson"
2025,2,34,Houston Texans,Jayden Higgins,WR,17083,"Higgins, Jayden"
2025,2,36,Cleveland Browns,Quinshon Judkins,RB,17051,"Judkins, Quinshon"
2025,2,38,New England Patriots,TreVeyon Henderson,RB,17043,"Henderson, TreVeyon"
2025,2,39,Chicago Bears,Luther Burden III,WR,17070,"Burden, Luther"
2025,2,40,New Orleans Saints,Tyler Shough,QB,17039,"Shough, Tyler"
2025,2,42,New York Jets,Mason Taylor,TE,17106,"Taylor, Mason"
2025,2,46,Los Angeles Rams,Terrance Ferguson,TE,17107,"Ferguson, Terrance"
2025,2,50,Seattle Seahawks,Elijah Arroyo,TE,17108,"Arroyo, Elijah"
2025,2,55,Los Angeles Chargers,Tre Harris,WR,17072,"Harris, Tre"
2025,2,58,Las Vegas Raiders,Jack Bech,WR,17078,"Bech, Jack"
2025,2,60,Denver Broncos,RJ Harvey,RB,17068,"Harvey, RJ"
2025,3,67,Cleveland Browns,Harold Fannin Jr.,TE,17103,"Fannin, Harold"
2025,3,69,New England Patriots,Kyle Williams,WR,17134,"Williams, Kyle"
2025,3,70,Detroit Lions,Isaac TeSlaa,WR,17157,"TeSlaa, Isaac"
2025,3,74,Denver Broncos,Pat Bryant,WR,17082,"Bryant, Pat"
2025,3,79,Houston Texans,Jaylin Noel,WR,17080,"Noel, Jaylin"
2025,3,83,Pittsburgh Steelers,Kaleb Johnson,RB,17048,"Johnson, Kaleb"
2025,3,87,Green Bay Packers,Savion Williams,WR,17096,"Williams, Savion"
2025,3,92,Seattle Seahawks,Jalen Milroe,QB,17033,"Milroe, Jalen"
2025,3,94,Cleveland Browns,Dillon Gabriel,QB,17037,"Gabriel, Dillon"
2025,3,102,Minnesota Vikings,Tai Felton,WR,17097,"Felton, Tai"
2025,4,103,Tennessee Titans,Chimere Dike,WR,17171,"Dike, Chimere"
2025,4,104,Jacksonville Jaguars,Bhayshul Tuten,RB,17052,"Tuten, Bhayshul"
2025,4,105,New York Giants,Cam Skattebo,RB,17045,"Skattebo, Cam"
2025,4,108,Las Vegas Raiders,Dont'e Thornton,WR,17087,"Thornton, Dont'e"
2025,4,110,New York Jets,Arian Smith,WR,17175,"Smith, Arian"
2025,4,114,Carolina Panthers,Trevor Etienne,RB,17056,"Etienne, Trevor"
2025,4,116,Houston Texans,Woody Marks,RB,17053,"Marks, Woody"
2025,4,117,Los Angeles Rams,Jarquez Hunter,RB,17064,"Hunter, Jarquez"
2025,4,120,Tennessee Titans,Gunnar Helm,TE,17105,"Helm, Gunnar"
2025,4,126,Cleveland Browns,Dylan Sampson,RB,17047,"Sampson, Dylan"
2025,4,128,Washington Commanders,Jaylin Lane,WR,17184,"Lane, Jaylin"
2025,4,133,Kansas City Chiefs,Jalen Royals,WR,17086,"Royals, Jalen"
2025,4,136,Tennessee Titans,Elic Ayomanor,WR,17073,"Ayomanor, Elic"
2025,4,138,San Francisco 49ers,Jordan Watkins,WR,17192,"Watkins, Jordan"
2025,5,144,Cleveland Browns,Shedeur Sanders,QB,17031,"Sanders, Shedeur"
2025,5,147,San Francisco 49ers,Jordan James,RB,17055,"James, Jordan"
2025,5,149,Dallas Cowboys,Jaydon Blue,RB,17069,"Blue, Jaydon"
2025,5,151,Indianapolis Colts,DJ Giddens,RB,17060,"Giddens, DJ"
2025,5,158,Los Angeles Chargers,KeAndre Lambert-Smith,WR,17205,"Lambert-Smith, KeAndre"
2025,5,163,Carolina Panthers,Mitchell Evans,TE,17109,"Evans, Mitchell"
2025,5,165,Los Angeles Chargers,Oronde Gadsden II,TE,17099,"Gadsden, Oronde"
2025,5,166,Seattle Seahawks,Tory Horton,WR,17098,"Horton, Tory"
