draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2023,1,1,Carolina Panthers,Bryce Young,QB,16148,"Young, Bryce"
2023,1,2,Houston Texans,C. J. Stroud,QB,16150,"Stroud, C.J."
2023,1,4,Indianapolis Colts,Anthony Richardson,QB,16152,"Richardson, Anthony"
2023,1,8,Atlanta Falcons,Bijan Robinson,RB,16161,"Robinson, Bijan"
2023,1,12,Detroit Lions,Jahmyr Gibbs,RB,16162,"Gibbs, Jahmyr"
2023,1,20,Seattle Seahawks,Jaxon Smith-Njigba,WR,16185,"Smith-Njigba, Jaxon"
2023,1,21,Los Angeles Chargers,Quentin Johnston,WR,16188,"Johnston, Quentin"
2023,1,22,Baltimore Ravens,Zay Flowers,WR,16190,"Flowers, Zay"
2023,1,23,Minnesota Vikings,Jordan Addison,WR,16186,"Addison, Jordan"
2023,1,25,Buffalo Bills,Dalton Kincaid,TE,16213,"Kincaid, Dalton"
2023,2,33,Tennessee Titans,Will Levis,QB,16149,"Levis, Will"
2023,2,34,Detroit Lions,Sam LaPorta,TE,16214,"LaPorta, Sam"
2023,2,35,Las Vegas Raiders,Michael Mayer,TE,16212,"Mayer, Michael"
2023,2,39,Carolina Panthers,Jonathan Mingo,WR,16197,"Mingo, Jonathan"
2023,2,42,Green Bay Packers,Luke Musgrave,TE,16215,"Musgrave, Luke"
2023,2,50,Green Bay Packers,Jayden Reed,WR,16184,"Reed, Jayden"
2023,2,52,Seattle Seahawks,Zach Charbonnet,RB,16169,"Charbonnet, Zach"
2023,2,55,Kansas City Chiefs,Rashee Rice,WR,16194,"Rice, Rashee"
2023,2,58,Dallas Cowboys,Luke Schoonmaker,TE,16221,"Schoonmaker, Luke"
2023,2,61,Jacksonville Jaguars,Brenton Strange,TE,16269,"Strange, Brenton"
2023,2,63,Denver Broncos,Marvin Mims,WR,16189,"Mims, Marvin"
2023,3,68,Detroit Lions,Hendon Hooker,QB,16151,"Hooker, Hendon"
2023,3,69,Houston Texans,Tank Dell,WR,16204,"Dell, Tank"
2023,3,71,New Orleans Saints,Kendre Miller,RB,16171,"Miller, Kendre"
2023,3,73,New York Giants,Jalin Hyatt,WR,16183,"Hyatt, Jalin"
2023,3,74,Cleveland Browns,Cedric Tillman,WR,16191,"Tillman, Cedric"
2023,3,78,Green Bay Packers,Tucker Kraft,TE,16222,"Kraft, Tucker"
2023,3,79,Indianapolis Colts,Josh Downs,WR,16187,"Downs, Josh"
2023,3,81,Tennessee Titans,Tyjae Spears,RB,16165,"Spears, Tyjae"
2023,3,84,Miami Dolphins,De'Von Achane,RB,16167,"Achane, De'Von"
2023,3,88,Jacksonville Jaguars,Tank Bigsby,RB,16164,"Bigsby, Tank"
2023,3,93,Pittsburgh Steelers,Darnell Washington,TE,16216,"Washington, Darnell"
2023,3,94,Arizona Cardinals,Michael Wilson,WR,16206,"Wilson, Michael"
2023,3,100,Las Vegas Raiders,Tre Tucker,WR,16287,"Tucker, Tre"
2023,3,101,San Francisco 49ers,Cameron Latu,TE,16217,"Latu, Cameron"
2023,4,115,Chicago Bears,Roschon Johnson,RB,16175,"Johnson, Roschon"
2023,4,125,Los Angeles Chargers,Derius Davis,WR,16299,"Davis, Derius"
2023,4,127,New Orleans Saints,Jake Haener,QB,16156,"Haener, Jake"
2023,4,128,Los Angeles Rams,Stetson Bennett,QB,16153,"Bennett, Stetson"
2023,4,131,Cincinnati Bengals,Charlie Jones,WR,16203,"Jones, Charlie"
2023,4,133,Chicago Bears,Tyler Scott,WR,16205,"Scott, Tyler"
2023,4,135,Las Vegas Raiders,Aidan O'Connell,QB,16159,"O'Connell, Aidan"
2023,5,139,Arizona Cardinals,Clayton Tune,QB,16160,"Tune, Clayton"
2023,5,140,Cleveland Browns,Dorian Thompson-Robinson,QB,16158,"Thompson-Robinson, Dorian"
2023,5,143,New York Jets,Israel Abanikanda,RB,16168,"Abanikanda, Israel"
2023,5,147,Tennessee Titans,Josh Whyle,TE,16312,"Whyle, Josh"
2023,5,149,Green Bay Packers,Sean Clifford,QB,16313,"Clifford, Sean"
2023,5,150,Buffalo Bills,Justin Shorter,WR,16210,"Shorter, Justin"
2023,5,159,Green Bay Packers,Dontayvion Wicks,WR,16195,"Wicks, Dontayvion"
2023,5,162,Indianapolis Colts,Will Mallory,TE,16220,"Mallory, Will"
2023,5,163,Cincinnati Bengals,Chase Brown,RB,16181,"Brown, Chase"
2023,5,164,Minnesota Vikings,Jaren Hall,QB,16154,"Hall, Jaren"
2023,5,171,Tampa Bay Buccaneers,Payne Durham,TE,16218,"Durham, Payne"
2023,5,172,New York Giants,Eric Gray,RB,16173,"Gray, Eric"
2023,5,175,Los Angeles Rams,Davis Allen,TE,16219,"Allen, Davis"
2023,5,176,Indianapolis Colts,Evan Hull,RB,16180,"Hull, Evan"
2023,5,177,Los Angeles Rams,Puka Nacua,WR,16211,"Nacua, Puka"
2023,6,185,Jacksonville Jaguars,Parker Washington,WR,16192,"Washington, Parker"
2023,6,187,New England Patriots,Kayshon Boutte,WR,16193,"Boutte, Kayshon"
2023,6,188,Philadelphia Eagles,Tanner McKee,QB,15702,"McKee, Tanner"
2023,6,191,Tampa Bay Buccaneers,Trey Palmer,WR,16199,"Palmer, Trey"
2023,6,193,Washington Commanders,Chris Rodriguez Jr.,RB,16174,"Rodriguez, Chris"
2023,6,195,New Orleans Saints,A. T. Perry,WR,16196,"Perry, A.T."
2023,6,197,Miami Dolphins,Elijah Higgins,TE,16333,"Higgins, Elijah"
2023,6,205,Houston Texans,Xavier Hutchinson,WR,16201,"Hutchinson, Xavier"
2023,6,206,Cincinnati Bengals,Andrei Iosivas,WR,16207,"Iosivas, Andrei"
2023,6,210,New England Patriots,Demario Douglas,WR,16342,"Douglas, Demario"
2023,6,212,Dallas Cowboys,Deuce Vaughn,RB,16176,"Vaughn, Deuce"
2023,6,215,Los Angeles Rams,Zach Evans,RB,16163,"Evans, Zach"
2023,7,219,Detroit Lions,Antoine Green,WR,16349,"Green, Antoine"
2023,7,220,New York Jets,Zack Kuntz,TE,16249,"Kuntz, Zack"
2023,7,222,Minnesota Vikings,DeWayne McBride,RB,16179,"McBride, DeWayne"
2023,7,228,Tennessee Titans,Colton Dowell,WR,16354,"Dowell, Colton"
