draft_year,draft_round,draft_pick,draft_team,name,position,mfl_id,mfl_name
2015,1,1,Tampa Bay Buccaneers,Jameis Winston,QB,12140,"Winston, Jameis"
2015,1,2,Tennessee Titans,Marcus Mariota,QB,12141,"Mariota, Marcus"
2015,1,4,Oakland Raiders,Amari Cooper,WR,12175,"Cooper, Amari"
2015,1,15,San Diego Chargers,Melvin Gordon,RB,12151,"Gordon, Melvin"
2015,1,20,Philadelphia Eagles,Nelson Agholor,WR,12181,"Agholor, Nelson"
2015,1,29,Indianapolis Colts,Phillip Dorsett,WR,12188,"Dorsett, Phillip"
2015,2,54,Detroit Lions,Ameer Abdullah,RB,12155,"Abdullah, Ameer"
2015,3,69,Seattle Seahawks,Tyler Lockett,WR,12187,"Lockett, Tyler"
2015,3,76,Kansas City Chiefs,Chris Conley,WR,12257,"Conley, Chris"
2015,4,105,Washington Redskins,Jamison Crowder,WR,12184,"Crowder, Jamison"
2015,5,143,Minnesota Vikings,MyCole Pruitt,TE,12309,"Pruitt, MyCole"
2015,5,146,Minnesota Vikings,Stefon Diggs,WR,12186,"Diggs, Stefon"
2015,5,157,Cincinnati Bengals,C. J. Uzomah,TE,12317,"Uzomah, C.J."
2015,6,204,Baltimore Ravens,Darren Waller,TE,12263,"Waller, Darren"
2015,7,246,Dallas Cowboys,Geoff Swaim,TE,12378,"Swaim, Geoff"
2015,7,250,Denver Broncos,Trevor Siemian,QB,12381,"Siemian, Trevor"
